2.174296878089999885e-02 2.814036584186630918e+01
2.415883892060000093e-02 2.692895207201139840e+01
2.657470423509999957e-02 2.652201515044234981e+01
2.899056424170000021e-02 2.585327414596773821e+01
3.140641845790000108e-02 2.553306162531657719e+01
3.382226640140000018e-02 2.538536234977201644e+01
3.623810758939999960e-02 2.528633136155597683e+01
3.865394153969999719e-02 2.506087528622852290e+01
4.106976776969999826e-02 2.533855582099226922e+01
4.348558579689999759e-02 2.520374413914070644e+01
4.590139513899999663e-02 2.548574966549448462e+01
4.831719531329999734e-02 2.558264406795981216e+01
5.073298583759999758e-02 2.557432924992880885e+01
5.314876622930000266e-02 2.573009856099230674e+01
5.556453600610000015e-02 2.589357850684177365e+01
5.798029468560000205e-02 2.597433195962498331e+01
6.039604178530000311e-02 2.610324279002026415e+01
6.281177682289999786e-02 2.615309346375683219e+01
6.522749931610000163e-02 2.612804504447372622e+01
6.764320878250000557e-02 2.639035942011116020e+01
7.005890473970000087e-02 2.644570462990705195e+01
7.247458670539999592e-02 2.653062061279003458e+01
7.489025419740000244e-02 2.651201898320421790e+01
7.730590673340000107e-02 2.677614817841587680e+01
7.972154383099999686e-02 2.660181063904703436e+01
8.213716500810000487e-02 2.673660688764074322e+01
8.455276978230000240e-02 2.682873025757873364e+01
8.696835767159999397e-02 2.687634091739121089e+01
8.938392819370000186e-02 2.694219987802741301e+01
9.179948086639999616e-02 2.690769104850517124e+01
9.421501520750000247e-02 2.692555061010822826e+01
9.663053073499999757e-02 2.675757465333093066e+01
9.904602696679999652e-02 2.692801667009821287e+01
1.014615034209999933e-01 2.698009449748166588e+01
1.038769596150000002e-01 2.702418750698505079e+01
1.062923950670000006e-01 2.689594327013218944e+01
1.087078092949999991e-01 2.688060128576232088e+01
1.111232018170000002e-01 2.689756480310852638e+01
1.135385721509999946e-01 2.685049728613717335e+01
1.159539198150000006e-01 2.674904891833036302e+01
1.183692443269999950e-01 2.666704726042171458e+01
1.207845452060000019e-01 2.663959609280757590e+01
1.231998219690000063e-01 2.653542963656774134e+01
1.256150741350000044e-01 2.643023758661732003e+01
1.280303012210000091e-01 2.639416655350778029e+01
1.304455027470000084e-01 2.623722296502289808e+01
1.328606782300000011e-01 2.629615010709729717e+01
1.352758271879999918e-01 2.604783772387242635e+01
1.376909491399999907e-01 2.605178027126896012e+01
1.401060436050000080e-01 2.575015306555058814e+01
1.425211100999999869e-01 2.574136730986289479e+01
1.449361481429999876e-01 2.558816604927084981e+01
1.473511572550000037e-01 2.534065595840152696e+01
1.497661369520000008e-01 2.530163242097993503e+01
1.521810867539999945e-01 2.512856137675208501e+01
1.545960061780000117e-01 2.497974848355577393e+01
